,类型,报告标题,披露时间,披露机构,攻击方法,组织别名,报告摘要
311,攻击模式分析报告 (48),新APT组织Calypso揭露，使用木马Calypso RAT进行恶意活动,2019/11/5,暂无数据,['木马后门'],Calypso,国外研究人员最近揭露了新的APT组织Calypso，该组织至少从2016年9月以来一直活跃，主要动机是盗窃机密数据，目标包括巴西、印度、哈萨克斯坦、俄罗斯、泰国和土耳其的政府机构。攻击者使用ASPX Web Shell访问了受感染组织的内部网络，利用SysInternals、Nbtscan、DoublePulsar等公开工具和漏洞来上传webShell。在一次攻击中，该组织使用了Calypso RAT，PlugX和Byeby木马，Calypso RAT是该小组独有的恶意软件。同时，研究人员还发现了其dropper-stager分发了名为Hussar和FlyingDutchman的有效负载。该攻击组织疑似来自于亚洲国家。
312,攻击模式分析报告 (48),疑似Lazarus针对双平台的攻击活动披露,2019/11/4,暂无数据,"['鱼叉式网络钓鱼电子邮件', '木马后门']",Hidden CobraLazarus,Lazarus APT组织是一个长期活跃的组织，因为2014年攻击索尼影业而开始受到广泛关注，该组织早期主要针对韩国，美国等国家的政府机构进行攻击活动，以窃取情报等信息为目的。自2014年后，该组织开始针对全球金融机构，加密交易机构等为目标，进行敛财活动。
313,攻击模式分析报告 (48),APT41新恶意软件MESSAGETAP揭露,2019/11/1,暂无数据,['暂无数据'],APT41,国外安全研究人员发现了黑客组织APT41使用新得恶意软件MESSAGETAP，该恶意软件据称被部署在一家电信网络提供商中，用于监控并保存特定的电话号码，IMSI号和关键字中的SMS流量。MESSAGETAP在作为短消息服务中心(SMSC)的Linux服务器上被发现，SMSC负责将短消息服务(SMS)消息路由到指定的接收方，或者在接收方联机之前存储消息。MESSAGETAP是一个64位的ELF数据挖掘程序，最初由安装脚本加载。安装后将尝试每30秒读取一次配置文件，配置文件中存有特定的IMSI、电话号码和关键字。并将其加载到内存中。然后开始监控与服务器之间的所有连接，解析协议层，包括SCTP、SCCP和TCAP。最后，恶意软件从网络流量中解析和提取SMS数据。
314,攻击模式分析报告 (48),,2019/11/1,暂无数据,['僵尸网络'],暂无数据,研究人员近期发现新的Gafgyt木马变种，该木马试图感染IoT设备，包括Zyxel，Huawei和Realtek等知名商业品牌的小型办公室/家庭无线路由器。其使用远程代码执行漏洞来获取访问权限，如CVE-2017-18368 、CVE-2017-17215、CVE-2014-8361 ，并将路由器招募到僵尸网络中来发动Dos攻击。该变体可以同时执行不同类型的Dos攻击，其中的VSE攻击选项包含有效载荷，其采用分布式反射拒绝服务(DrDoS)，利用Valve软件协议，将受感染主机的请求重定向或发射到运行了Valve Source Engine的游戏服务器。
315,攻击模式分析报告 (48),远控木马NukeSped的深度分析,2019/10/24,暂无数据,['木马后门'],APT-C-26,国外研究最近观察到朝鲜组织Lazarus的恶意软件NukeSped活动迹象。其样本大部分是32位，使用了基于xor的自定义加密以阻止分析，恶意代码中包含语言ID1024(0x0412是韩语的语言标志符)。NukeSped接收传入的命令并执行，具备常规的RAT功能，如下载并执行其他有效载荷、获取系统信息等。NukeSped的主要功能结构和Lazarus的另一个远控工具FALLCHILL相似。除此之外，该工具存在和 HOPLIGHT木马共享的文件名引用。
316,攻击模式分析报告 (48),Winnti Group的skip‑2.0：Microsoft SQL Server后门,2019/10/21,暂无数据,['木马后门'],,ESET研究人员有一段时间以来一直在追踪Winnti Group的活动，该组织至少从2012年开始活跃，并负责针对视频游戏和软件行业的高知名度的供应链攻击。最近，我们发现了针对Microsoft SQL（MSSQL）的，以前未公开的后门程序，使攻击者能够在受到威胁的组织中保持非常谨慎的立足点。该后门与WinReti使用的另一种工具PortReuse后门有很多相似之处，后者是ESET在2019年10月首次记录的，例如使用相同的自定义打包程序和VMProtected启动器，这就是为什么我们将此后门归因于Winnti组。
317,攻击模式分析报告 (48),攻击者利用WAV音频文件，隐藏XMRig和Metasploit代码,2019/10/21,暂无数据,['木马后门'],WaterbugTurla,研究人员最近发现，WAV音频文件中被嵌入经过模糊混淆的恶意代码，其中一些与XMRig Monero币矿工程序相关。每个WAV音频文件都有一个加载程序，用于解码和执行其中嵌入的恶意代码，并且不会在播放过程中产生异常。WAV文件加载器包括采用最低有效位隐写术加载程序解码并执行PE文件、采用基于rand()的解码算法来解码和执行PE文件、采用基于rand()的解码算法来解码和执行shellcode类型。每种方法都允许攻击者以合法文件格式执行代码，其中对解码shellcode的分析显示，该代码与Metasploit 反向TCP和反向HTTPS代码极为相似，并且shellcode都会尝试通过端口3527或443连接到C2服务器。该隐藏策略在Turla组织使用的恶意样本中也被发现。
318,攻击模式分析报告 (48),Spelevo工具包利用Flash Player漏洞，分发Maze勒索软件,2019/10/21,暂无数据,['勒索软件'],暂无数据,研究人员最近发现Spelevo漏洞利用工具包开始分发Maze勒索软件的活动，Maze是勒索软件Chacha的变体，最初在5月份被发现。恶意活动将用户重定向到Spelevo攻击工具包，并且尝试利用Flash Player (CVE-2018-15982)漏洞执行任意代码，来自动下载并安装Maze勒索软件。成功安装后，恶意负载会扫描感兴趣的文件，并使用RSA加密和ChaCha20流密码对其进行加密。同时会在扫描的每个文件夹下创建名为DECRYPT-FILES.txt的勒索票据，指示受害者打开TOR网站获取付款说明。目前，还未发现Maze勒索软件的解密方法。
319,攻击模式分析报告 (48),Rock组织使用非法加密技术更难以发现,2019/10/17,暂无数据,['木马后门'],暂无数据,"研究人员发现Rocke组织今年将其C2基础设施从Pastebin上托管脚本转移到域名系统(DNS)文本记录。攻击者利用""""lsd.systemten[.]org""""和""""update.systemten[.]org""""的TXT记录作为C2通信通道，这些记录通过常规DNS查询或HTTP-over-HTTPs（DoH）访问。除了更改C2托管策略之外，还向其LSD恶意软件中添加了""""StartHttpServer""""功能，用于启动侦听本地主机( localhost)TCP端口65533的Web服务器，以保证只有一个恶意软件程序在运行(因为只有一个应用程序可以绑定到特定端口)。恶意软件早期使用弱凭证，通过SSH和Redis访问其他机器，最近发现，恶意软件添加了用于利用ActiveMQ任意文件上传漏洞(CVE-2016-3088)的功能。该恶意软件为了阻止其他矿工感染目标机器，会杀死CPU使用率高的任何其他进程，并且通过文件MD5值识别自身矿工程序，避免误杀。9月，研究人员注意到攻击者开始使用新域名""""update.iap5u1rbety6vifaxsi9vovnc9jjay2l[.]com""""，同时在同一时间停止了对""""update.systemten[.]org""""的使用。"
320,攻击模式分析报告 (48),Java ATM恶意软件：内部威胁,2019/7/30,暂无数据,['暂无数据'],暂无数据,yoroi研究人员发现一个ATM恶意软件样本，可能与最近针对银行业的网络犯罪活动有关。该恶意软件可以与自动柜员机进行交互。并且滥用Java Instrumentation技术，以操纵合法的基于Java的ATM管理软件的控制流程。恶意软件会利用Java Attach API，识别ATM软件使用的Java虚拟机(JVM)，然后使用” vm.loadAgent”方法强制加载Java代理，其最终目的是在受害系统中部署一个HTTP服务器，以充当攻击者和受害ATM之间的接口。C2地址被硬编码在恶意代码中。
321,攻击模式分析报告 (48),危险的TrickBot攻击运动,2019/7/29,暂无数据,"['漏洞利用', '鱼叉式网络钓鱼电子邮件', '木马后门']",暂无数据,Yoroi研究人员最近发现一个针对意大利公司和机构的攻击活动。攻击者使用伪装成办公室和行政人员通信文档的钓鱼邮件发起攻击。钓鱼邮件里面包含恶意链接，一旦目标点击链接，就会下载恶意压缩文档。恶意文档被打开时，就会触发感染链，使受害者感染Trickbot银行木马变种。
322,攻击模式分析报告 (48),P2P蠕虫在野外传播密码采集器,2019/7/23,暂无数据,"['漏洞利用', '鱼叉式网络钓鱼电子邮件', '木马后门']",暂无数据,Cybaze-Yoroi ZLAB最近发现一个伪装成著名意大利歌手唱片集的恶意可执行文件，该文件为SFX存档格式，通过BitTorrent下载，SFX存档可以让攻击者隐藏恶意PE内容并降低检测率。
323,攻击模式分析报告 (48),Hard Pass:APT34拒绝加入他们的专业网络,2019/7/18,暂无数据,"['鱼叉式网络钓鱼电子邮件', '木马后门', '跨站脚本攻击', '零日漏洞', 'APT攻击', 'DDOS攻击', '拒绝服务攻击', '水坑式攻击', '中间人攻击', '供应链攻击', '漏洞利用', '无文件攻击']",APT34OilRig,APT34 伊朗的APT组织，伪装剑桥大学发送钓鱼邮件，针对政府、能源、公共行业等目标。使用特马：TONEDEAF，使用HTTP或DNS与命令和控制服务器通信。
324,攻击模式分析报告 (48),垃圾邮件运动针对哥伦比亚实体定制的‘Proyecto RAT’，为C&amp;C使用YOPmail电子邮件服务,2019/7/18,暂无数据,['暂无数据'],暂无数据,"趋势科技最近观察到一项主要针对南美地区金融机构和政府组织的恶意活动,特别是在哥伦比亚,攻击者使用的远程访问工具(RAT)。本文主要对本次活动进行详细分析，提供了观察到的活动、使用的远程访问工具（RAT）、活动的技术和程序，以及它的IOC。"
325,攻击模式分析报告 (48),SWEED组织：恶意软件Agent Tesla行为演变研究分析,2019/7/15,暂无数据,['暂无数据'],SWEED,我们最近发现了大量正在进行的恶意软件传播活动，这些活动与一个名为“SWEED”的组织有关，传播的恶意软件包括著名的恶意软件Formbook、Lokibot和Agent Tesla。根据我们的研究，SWEED组织至少从2017年就开始运作了，主要使用偷窃者和远程访问木马的方法攻击受害者。在这篇文章中，我们将追溯与SWEED相关的每个活动，并讨论一些参与者的策略，技术和程序（TTPs）。
326,攻击模式分析报告 (48),Buhtrap 黑客组织使用0day漏洞进行间谍行动,2019/7/11,暂无数据,"['跨站脚本攻击', '零日漏洞', 'APT攻击', 'DDOS攻击', '拒绝服务攻击', '水坑式攻击', '中间人攻击', '供应链攻击', '漏洞利用', '无文件攻击']",Buhtrap,Buhtrap黑客组织已将其目标从俄罗斯金融业务和机构转移。自2015年12月进行网络间谍活动以来，其影响最大的活动是在2019年6月期间使用了近期修补的Windows零日漏洞。Windows本地权限提升零日漏洞（CVE-2019-1132）被Buhtrap滥用于其攻击，它允许犯罪组织在内核模式下运行任意代码。微软在本月的补丁星期二修复了此漏洞。 尽管Buhtrap自2014年以来不断攻击银行客户，但它直到一年之后才被检测到。根据Group-IB和ESET研究人员的说法，它从2015年以后便开始寻找金融机构等更高级的目标。Group-IB报告称，“从2015年8月到2016年2月，Buhtrap成功对俄罗斯银行进行了13次攻击，总金额达18亿卢布（2570万美元）”。
